Movie Title,Year,Duration,Genre,Rating
Spider-Man: No Way Home,2021,148 min,"Action, Adventure, Fantasy",8.3
House of Gucci,2021,158 min,"Biography, Crime, Drama",6.6
Once Upon a Time in... Hollywood,2019,161 min,"Comedy, Drama",7.6
No Time to Die,2021,163 min,"Action, Adventure, Thriller",7.3
Goodfellas,1990,145 min,"Biography, Crime, Drama",8.7
Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",8.2
The Shawshank Redemption,1994,142 min,Drama,9.3
Avengers: Endgame,2019,181 min,"Action, Adventure, Drama",8.4
Dune: Part One,2021,155 min,"Action, Adventure, Drama",8
The Wolf of Wall Street,2013,180 min,"Biography, Comedy, Crime",8.2
The Dark Knight,2008,152 min,"Action, Crime, Drama",9
Titanic,1997,194 min,"Drama, Romance",7.9
Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.6
The Talented Mr. Ripley,1999,139 min,"Crime, Drama, Thriller",7.4
Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8
Free Guy,2021,115 min,"Action, Adventure, Comedy",7.1
Se7en,1995,127 min,"Crime, Drama, Mystery",8.6
CODA,2021,111 min,"Comedy, Drama, Music",8
Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",7.6
Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi",8.4
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",8.8
Licorice Pizza,2021,133 min,"Comedy, Drama, Romance",7.3
Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy",8
Pulp Fiction,1994,154 min,"Crime, Drama",8.9
Whiplash,2014,106 min,"Drama, Music",8.5
Bohemian Rhapsody,2018,134 min,"Biography, Drama, Music",7.9
Don't Look Up,2021,138 min,"Comedy, Drama, Sci-Fi",7.2
Encanto,2021,102 min,"Animation, Comedy, Family",7.2
Fight Club,1999,139 min,Drama,8.8
Forrest Gump,1994,142 min,"Drama, Romance",8.8
Independence Day,1996,145 min,"Action, Adventure, Sci-Fi",7
Doctor Strange,2016,115 min,"Action, Adventure, Fantasy",7.5
Blade Runner 2049,2017,164 min,"Action, Drama, Mystery",8
Avatar,2009,162 min,"Action, Adventure, Fantasy",7.8
